,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
55,56,Fredericton Airport,45.86890029907226,-66.53720092773439,Canada,North America,YFC,CYFC,68,1.0,8.0
56,57,Forestville Airport,48.74610137939453,-69.09719848632811,Canada,North America,\N,CYFE,293,,
57,58,Flin Flon Airport,54.6781005859375,-101.68199920654295,Canada,North America,YFO,CYFO,997,1.0,9.0
58,59,Fort Resolution Airport,61.1808013916,-113.690002441,Canada,North America,YFR,CYFR,526,,
59,60,Fort Simpson Airport,61.76020050048828,-121.23699951171876,Canada,North America,YFS,CYFS,555,0.0,4.0
60,61,Kingston Norman Rogers Airport,44.22529983520508,-76.5969009399414,Canada,North America,YGK,CYGK,305,0.0,2.0
61,62,La Grande Rivière Airport,53.62530136108398,-77.7042007446289,Canada,North America,YGL,CYGL,639,0.3333333333333333,6.0
62,63,Gaspé (Michel-Pouliot) Airport,48.775299072299994,-64.4785995483,Canada,North America,YGP,CYGP,112,1.0,4.0
63,64,Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828,Canada,North America,YGQ,CYGQ,1144,,
64,65,Îles-de-la-Madeleine Airport,47.42470169067383,-61.778099060058594,Canada,North America,YGR,CYGR,35,0.6666666666666666,6.0
65,66,Hudson Bay Airport,52.8166999817,-102.31099700899999,Canada,North America,YHB,CYHB,1175,,
66,67,Dryden Regional Airport,49.83169937133789,-92.74420166015624,Canada,North America,YHD,CYHD,1354,0.3333333333333333,7.0
67,68,Ulukhaktok Holman Airport,70.76280212402344,-117.80599975585938,Canada,North America,YHI,CYHI,117,0.3333333333333333,6.0
68,69,Gjoa Haven Airport,68.635597229,-95.8497009277,Canada,North America,YHK,CYHK,152,1.0,9.0
69,70,John C. Munro Hamilton International Airport,43.173599243199995,-79.93499755859999,Canada,North America,YHM,CYHM,780,0.5,8.0
70,71,Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348,Canada,North America,YHU,CYHU,90,0.5,8.0
71,72,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,Canada,North America,YHY,CYHY,541,1.0,6.0
72,73,Halifax / Stanfield International Airport,44.880798339799995,-63.508598327600005,Canada,North America,YHZ,CYHZ,477,0.26136363636363635,95.0
73,74,Atikokan Municipal Airport,48.7738990784,-91.6386032104,Canada,North America,YIB,CYIB,1408,,
74,75,Pond Inlet Airport,72.6832962036,-77.9666976929,Canada,North America,YIO,CYIO,181,0.0,6.0
75,76,St Jean Airport,45.29439926147461,-73.28109741210938,Canada,North America,YJN,CYJN,136,,
76,77,Stephenville Airport,48.5442008972168,-58.54999923706055,Canada,North America,YJT,CYJT,84,1.0,2.0
77,78,Kamloops Airport,50.702201843299996,-120.444000244,Canada,North America,YKA,CYKA,1133,1.0,10.0
78,79,Waterloo Airport,43.4608001709,-80.3786010742,Canada,North America,YKF,CYKF,1055,1.0,6.0
79,80,Schefferville Airport,54.80530166625977,-66.8052978515625,Canada,North America,YKL,CYKL,1709,0.5,10.0
80,81,Kindersley Airport,51.5175018311,-109.180999756,Canada,North America,YKY,CYKY,2277,,
81,82,Buttonville Municipal Airport,43.86220169067383,-79.37000274658203,Canada,North America,YKZ,CYKZ,650,,
82,83,Chapleau Airport,47.81999969482422,-83.3467025756836,Canada,North America,YLD,CYLD,1470,,
83,84,Meadow Lake Airport,54.12530136108398,-108.52300262451172,Canada,North America,YLJ,CYLJ,1576,,
84,85,Lloydminster Airport,53.30920028686523,-110.072998046875,Canada,North America,YLL,CYLL,2193,0.0,2.0
85,86,Alert Airport,82.51779937740001,-62.280601501499994,Canada,North America,YLT,CYLT,100,,
86,87,Kelowna International Airport,49.9561004639,-119.377998352,Canada,North America,YLW,CYLW,1421,0.509090909090909,30.0
87,88,Mayo Airport,63.61640167236328,-135.86799621582028,Canada,North America,YMA,CYMA,1653,,
88,89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,Canada,North America,YMJ,CYMJ,1892,,
89,90,Fort McMurray Airport,56.653301238999994,-111.22200012200001,Canada,North America,YMM,CYMM,1211,0.5238095238095238,25.0
90,91,Moosonee Airport,51.291099548339844,-80.60780334472656,Canada,North America,YMO,CYMO,30,0.0,6.0
91,92,Maniwaki Airport,46.272800445600005,-75.9906005859,Canada,North America,YMW,CYMW,656,,
92,93,Montreal International (Mirabel) Airport,45.67950057979999,-74.0386962891,Canada,North America,YMX,CYMX,270,,
93,94,Natashquan Airport,50.18999862670898,-61.78919982910156,Canada,North America,YNA,CYNA,39,0.0,8.0
94,95,Ottawa / Gatineau Airport,45.5217018127,-75.5635986328,Canada,North America,YND,CYND,211,,
